sys.exec.out.time {s},crewModule.dyn.position[0] {m},crewModule.dyn.position[1] {m},crewModule.dyn.position[2] {m},crewModule.dyn.center_of_buoyancy[0] {1},crewModule.dyn.center_of_buoyancy[1] {1},crewModule.dyn.center_of_buoyancy[2] {1},crewModule.dyn.R[0][0] {--},crewModule.dyn.R[0][1] {--},crewModule.dyn.R[0][2] {--},crewModule.dyn.R[1][0] {--},crewModule.dyn.R[1][1] {--},crewModule.dyn.R[1][2] {--},crewModule.dyn.R[2][0] {--},crewModule.dyn.R[2][1] {--},crewModule.dyn.R[2][2] {--}
10.2,0,0,  0.2033819318090688,0.000259451,-0.670027181,-0.361373086,  0.9999993347121131,0.001153466,-9.57E-06,-0.001108414,  0.9631732454625306,  0.2688792864017253,0.000319364,-0.268879097,  0.9631738831864407
10.3,0,0,  0.3937510185403341,0.001206952,-0.650579337,-0.194649269,  0.9999993333598454,0.001147988,-0.000124107,-0.001103597,  0.9818398235836306,  0.1897085736230944,0.000339636,-0.18970831,  0.9818404359627148
10.4,0,0,  0.5436269178024407,0.001409554,-0.471456539,-0.137311324,  0.9999993352311222,0.001130333,-0.00022778,-0.001104889,  0.9958430223041098,0.091079384,0.000329783,-0.091079072,  0.9958436091901537
10.5,0,0,  0.6237915588989194,0.001332149,0.06589698,-0.114437564,  0.9999993420373863,0.001101552,-0.000320169,-0.001105776,  0.9999081891751009,-0.013505202,0.000305262,0.013505547,  0.9999087493425149
10.6,0,0,  0.6192949462592757,0.000598404,  0.5902260638298117,-0.131424648,  0.9999993541041219,0.00106503,-0.000396867,-0.001103573,  0.9933777391193784,-0.114888857,0.000271879,  0.1148892211391333,0.993378273
10.7,0,0,  0.5383674317506472,0.00140433,  0.8562317144529692,-0.172599069,  0.9999993749678799,0.00102594,-0.000444421,-0.001095472,  0.9785654112052824,-0.205933329,0.00022362,  0.2059336869942935,  0.9785659234628433
10.8,0,0,  0.4033194827141575,-0.000342922,  0.8504667555724807,-0.284393633,  0.9999994046974139,0.000993176,-0.000451892,-0.001079402,  0.9610173634589978,-0.276485916,0.000159677,  0.2764862396791136,  0.9610178634037293
10.9,0,0,  0.2351023708824644,-0.000313934,  0.7132697416082381,-0.359341513,0.999999435,0.000972869,-0.0004289,-0.001058972,  0.9473804495427355,-0.320108048,9.490796516870611e-05,  0.3201083212745207,  0.9473809443165894
11,0,0,0.062020909,-0.000461361,0.572593381,-0.419687255,  0.9999994581721581,0.000967401,-0.000384435,-0.001040185,  0.9430926184897432,-0.332528542,4.086953327207772e-05,  0.3325287612902225,  0.9430931137785697
11.1,0,0,-0.083559776,-0.000403601,  0.4887923005278534,-0.497992399,  0.9999994685207483,0.000975,-0.000335161,-0.001030903,  0.9500228415149551,-0.312178695,1.403621346850783e-05,  0.3121788749650663,  0.9500233417345002
11.2,0,0,-0.179365668,-0.000355774,  0.3639709906951981,-0.508927596,  0.9999994685557096,0.000991575,-0.000282255,-0.001030865,  0.9655114657790314,-0.260358497,1.435525565947706e-05,  0.2603586492295975,  0.9655119748483252
11.3,0,0,-0.210269208,-0.000312406,  0.1986302192851059,-0.44943191,  0.9999994620366247,0.00101196,-0.000227735,-0.001036505,  0.9833076585186871,-0.181947724,3.980985091176197e-05,  0.1819478624093132,0.983308178
11.4,0,0,-0.165188164,-0.000558402,  0.1146432794639604,-0.433528541,  0.9999994514753759,0.001031585,-0.000181331,-0.001043376,  0.9962776851299462,-0.086195623,9.173780681731507e-05,0.086195765,  0.9962782149799631
11.5,0,0,-0.052066788,-0.000777432,-0.025544203,-0.362416706,  0.9999994349961482,0.001049086,-0.000171543,-0.001046077,  0.9998602248671564,0.016686415,0.000189024,-0.016686226,  0.9998607573661408
